"nimi","yritys","ytunnus","osoite","postitoimipaikka","postinumero","laitospaikka","laitostyyppi","erillistuotanto_maksimi_yhteensa","erillistuotanto_tunti_yhteensa","erillistuotanto_poistettu","yhteistuotanto_teollisuus_yhteensa","yhteistuotanto_teollisuus_tunti","yhteistuotanto_teollisuus_poistettu","yhteistuotanto_kaunkolampo_yhteensa","yhteistuotanto_kaukolampo_tunti","yhteistuotanto_kaukolampo_poistettu","maksimi_yhteensa","tunti_yhteensa","poistettu_yhteensa","polttoaine1","polttoaine2","polttoaine3"
"Pursiala 1","Etelä-Savon Energia Oy","0940955-3","Kanavakatu 2 (PL 166)","MIKKELI",50100,"Pursiala 1 ","Kaukolämpö CHP",0,0,0,0,0,0,27,25,0,27,25,0,"Metsäpolttoaine, puu","Teollisuuden puutähde","Turve"
"Pursiala 2","Etelä-Savon Energia Oy","0940995-3","Kanavakatu 2 (PL166)","MIKKELI",50100,"Pursiala 2","Kaukolämpö CHP",0,0,0,0,0,0,22,21,0,22,21,0,"Metsäpolttoaine, puu","Teollisuuden puutähde","Turve"
"Puulaakso","Puulaakson Energia Oy","1558986-6","C/O Vattenfall Sähköntuotanto Oy, Maistraatinportti 4","Helsinki",240,"Puulaakson Energia Oy  Hongantie 93","Teollisuus CHP",0,0,0,"0,9","0,7",0,0,0,0,"0,9","0,7",0,"Teollisuuden puutähde",,
"Puuska 2","Rajakiiri Oy",21137858,"Kirkkopuistikko 0","Vaasa",65100,"Puuska 2","Tuulivoima","16,5","16,5",0,0,0,0,0,0,0,"16,5","16,5",0,,,
"Pyhäjoki","Tuulipuisto Oy Pyhäjoki","2484807-3","Jaakonkatu 3 B","Helsinki",100,"Pyhäjoki","Tuulivoima","26,4","26,4",0,0,0,0,0,0,0,"26,4","26,4",0,,,
"Pyhäkoski","Fortum Power & Heat , Generation","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Pyhäkoski","Vesivoima",146,146,0,0,0,0,0,0,0,146,146,0,,,
"Pyhänkoski","CHORUS Wind Pyhänkoski Oy",26166287,"Elielinaukio 5B","Helsinki",100,"Pyhänkoski","Tuulivoima","13,2","13,2",0,0,0,0,0,0,0,"13,2","13,2",0,,,
"Pyhännänkoski","Kainuun Energia Oy","0185353-1","Ahontie 1","Kajaani",87101,"Ristijärvi (Pyhännänkoski","Vesivoima","2,9","2,6",0,0,0,0,0,0,0,"2,9","2,6",0,,,
"Pälli","Fortum Power & Heat , Generation","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Pälli","Vesivoima","50,7","50,7",0,0,0,0,0,0,0,"50,7","50,7",0,,,
"Raahe","Raahen Voima Oyj","2604933-9","PL 155","Raahen Voima Oyj",92101,"Raahe","Teollisuus CHP",0,0,0,94,94,0,0,0,0,94,94,0,"Masuunikaasu","Koksikaasu","Maakaasu"
"Raahen tuulipuisto tv 1- 9","Suomen Hyötytuuli Oy","1477522-9","Radanvarsi 2","Pori",28100,"Raahe tv 1-9","Tuulivoima","20,7","20,7",0,0,0,0,0,0,0,"20,7","20,7",0,,,
"Raasakka","PVO Vesivoima Oy","09404130-0","Virkkulantie 207","91100 Ii",91100,"raasakka","Vesivoima",60,60,0,0,0,0,0,0,0,60,60,0,,,
"Raisio","Raisionkaaren Teollisuuspuisto Oy","2134113-8","PL 101","RAISIO",21201,"Raisio","Teollisuus CHP",0,0,0,0,0,0,0,0,0,0,0,0,"Raskas öljy",,
"Rasmus 1 ja 2","Koskenkorvan Tuulivoima Oy","2308214-1","c/o Tapani Lehtonen, Tiilitie 210","Koskenkorva ",61330,"Rasmus 1 ja 2, Ilmajoki","Tuulivoima",3,3,0,0,0,0,0,0,0,3,3,0,,,
"Ratiperä","Ratiperän Tuulivoima Oy","2789721-7","Salomonkatu 17 A","Helsinki",100,"Ratiperä","Tuulivoima",27,27,0,0,0,0,0,0,0,27,27,0,,,
"Rauhalahti","Jyväskylän Energiantuotanto Oy","1030790-3","PL 4","Jyväskylä",40101,"Rauhalahti","Kaukolämpö CHP",0,0,0,0,0,0,80,80,0,80,80,0,"Turve","Teollisuuden puutähde","Metsäpolttoaine, puu"
"Rauma","Metsä Fibre Oy","0791416-3","Revontulentie 6","Espoo",2100,"Metsä Fibre Rauman tehdas","Teollisuus CHP",0,0,0,75,55,0,0,0,0,75,55,0,"Puunjalostusteolliuuden jäteliemet","Raskas öljy",
"Rauma","Rauman Biovoima Oy","1053836-5","Tikkalantie 1","26101 RAUMA","PL 95","Rauma","Teollisuus CHP",0,0,0,"71,5",65,0,0,0,0,"71,5",65,0,"Teollisuuden puutähde","Metsäpolttoaine, puu","Sekapolttoaineet"
"Rengon saha","Biokraft Oy","1931103-6","c/o Vapo Oy","PL 22",40101,"Renko","Teollisuus CHP",0,0,0,"1,3","1,3",0,0,0,0,"1,3","1,3",0,"Teollisuuden puutähde","Teollisuuden puutähde",
"RES1","Restuuli Oy","2506525-7","Tervarinne 5","Salo",24280,"Märynummi, Salo","Tuulivoima",5,5,0,0,0,0,0,0,0,5,5,0,,,
"Riihimäki (Ekokem)","EKOKEM OY AB","0350017-4","PL 181","RIIHIMÄKI",11101,"Kuulojankatu 1, 11120 RIIHIMÄKI","Kaukolämpö CHP",0,0,0,0,0,0,"19,6","19,6",0,"19,6","19,6",0,"Muut polttoaineena käytettävät sivu- ja jätetuotteet","Raskas öljy","Keskiraskas öljy"
"Riikinvoima","Riikinvoima Oy","2530288-1","Riikinnevantie 153","Varkaus",78210,"Riikinvoima","Kaukolämpö CHP",0,0,0,0,0,0,"11,8","11,8",0,"11,8","11,8",0,"Sekapolttoaineet","Keskiraskas öljy",
"Ristiina","Järvi-Suomen Voima Oy","163 43 73-7","Töölönkatu 4","Helsinki",100,"Ristiina","Teollisuus CHP",0,0,0,"8,5","8,5",0,0,0,0,"8,5","8,5",0,"Teollisuuden puutähde","Raskas öljy",
"Ruskeakoski","Pohjois-Karjalan Sähkö Oy","0214732-1","Rantakatu 29","Joensuu",80100,"Joensuu, Ruskeakoski","Vesivoima","3,3","1,2",0,0,0,0,0,0,0,"3,3","1,2",0,,,
"Ruusutarhat","Ruusutarhat Suutari Oy","016 3385 - 4","Jyrääntie 400","45100   Kouvola",45100,"Valkeala","Erillistuotanto","1,2","1,2",0,"1,5","1,5",0,0,0,0,"2,7","2,7",0,"Maakaasu","Keskiraskas öljy",
"Röyttä, Tornion tehtaat, 11 generaattoria","Outokumpu Stainless Oy","0823315-9","Tornion Tehtaat",95400,95400,"Tornion Tehtaat Röyttä","Erillistuotanto",16,12,0,0,0,0,0,0,0,16,12,0,"Keskiraskas öljy",,
"Saarenkylän tuulipuisto","Saarenkylä Tuulipuisto Oy","2536739-4","c/o wpd windmanager Scandinavia Oy, Sepänkatu 20","Oulu",90100,"Saarenkylän tuulivoimapuisto","Tuulivoima","29,7","29,7",0,0,0,0,0,0,0,"29,7","29,7",0,,,
"Saario","Pohjois-Karjalan Sähkö Oy","0214732-1","Rantakatu 29","Joensuu",80100,"Tohmajärvi, Saario","Vesivoima","1,6","0,7",0,0,0,0,0,0,0,"1,6","0,7",0,,,
"Salahmin vesivoimalaitos","Savon Voima Oyj","0171351-2","PL 1024","Toivala",70901,"Vieremä, Kiuruvedentie 31, Salahmi","Erillistuotanto","1,1","1,1",0,0,0,0,0,0,0,"1,1","1,1",0,,,
"Sallila","Sallila Energia Oy","0132029-2","Loimijoentie 65","Alastaro",32440,"Sallila (Vampulan kunnassa)","Vesivoima","1,2","1,2",0,0,0,0,0,0,0,"1,2","1,2",0,,,
"Salmisaari B","Helsingin Energia",9000002882,"Kampinkuja 2","HELEN",90,"Salmisaaren voimalaitos","Kaukolämpö CHP",0,0,0,0,0,0,163,155,0,163,155,0,"Kivihiili","Raskas öljy","Keskiraskas öljy"
"Salo","Voimavasu Oy","1503851-1","PL 22","Jyväskylä",40101,"Salo","Kaukolämpö CHP",0,0,0,0,0,0,"13,5","13,5",0,"13,5","13,5",0,"Turve","Teollisuuden puutähde","Keskiraskas öljy"
"Salo Märynummi","Tuuliwatti Oy ","2263278-9","Purotie 1","PL 100","(00)381","Salo Märynummi","Tuulivoima",10,10,0,0,0,0,0,0,0,10,10,0,,,
"Santavuori 1","EPV Tuulivoima Oy","2152955-2","Kirkkopuistikko 0","Vaasa",65100,"Santavuori 1","Tuulivoima","56,1","56,1",0,0,0,0,0,0,0,"56,1","56,1",0,,,
"Sarvankangas","Tuuliwatti Oy","2263278-9","PL 100","Helsinki",381,"TW Sarvankangas, Raahe","Tuulivoima",49,49,0,0,0,0,0,0,0,49,49,0,,,
"Savela","Jyväskylän Energiantuotanto Oy","1030790-3","PL 4","Jyväskylä",40101,"Savela","Erillistuotanto",0,0,"33,8",0,0,0,0,0,0,0,0,"33,8","Raskas öljy",,
"Savio","Keravan Energia Oy","0891026-0","PL 37","Kerava",4201,"Savion voimalaitos","Kaukolämpö CHP",0,0,0,0,0,0,"3,9","3,9",0,"3,9","3,9",0,"Maakaasu","Keskiraskas öljy",
"Savonlinna","Järvi-Suomen Voima Oy","163 43 73-7","Töölönkatu 4","Helsinki",100,"Savonlinna","Kaukolämpö CHP",0,0,0,0,0,0,"17,5","15,5",0,"17,5","15,5",0,"Teollisuuden puutähde","Metsäpolttoaine, puu","Turve"
"Seinäjoki (SEVO)","Seinäjoen Voima Oy","2887036-6","Kirkkopuistikko 0","Vaasa",65100,"Seinäjoki Sevo",,0,0,0,0,0,0,120,120,0,120,120,0,"Turve","Raskas öljy","Keskiraskas öljy"
"Seitakorva","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Seitakorva","Vesivoima","142,5",122,0,0,0,0,0,0,0,"142,5",122,0,,,
"Seitenoikea","Fortum Power & Heat , Generation","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Seitenoikea","Vesivoima","37,9","37,9",0,0,0,0,0,0,0,"37,9","37,9",0,,,
"Siikainen Jäneskeidas","Tuuliwatti Oy ","2263278-9","Purotie 1","PL 100","(00)381","Siikainen Jäneskeidas","Tuulivoima","26,4","26,4",0,0,0,0,0,0,0,"26,4","26,4",0,,,
"Siikakoski","KSS Energia Oy","0877511-8","Paimenpolku 3","Kouvola",45100,"Valkeala / Siikakoski","Vesivoima","1,8","1,8",0,0,0,0,0,0,0,"1,8","1,8",0,,,
"Siilinjärvi, V1 turb. ja vp turb.","Yara Suomi Oy","0948865-5","Nilsiäntie 501, PL 20","Siilinjärvi",71801,"Siilinjärvi","Teollisuus CHP",0,0,0,"25,1",22,0,0,0,0,"25,1",22,0,"Teollisuuden reaktiolämpö","Raskas öljy",
"Simo Leipiö","Tuuliwatti Oy ","2263278-9","Purotie 1","PL 100","(00)381","Simo Leipiö","Tuulivoima",18,18,0,0,0,0,0,0,0,18,18,0,,,
"Simo, Onkalonperä tv","Aalto Wind No 1 Ltd. Oy","2902288-7","Bulevardi 1 A","Helsinki",100,"Simo, Onkaloperä tv","Tuulivoima",9,9,0,0,0,0,0,0,0,9,9,0,,,
"Simo, Putaankangas tv","Aalto Wind No 1 Ltd. Oy","2902288-7","Bulevardi 1 A","Helsinki",100,"Simo, Putaankangas","Tuulivoima",9,9,0,0,0,0,0,0,0,9,9,0,,,
"Simpele","Metsä Board Oyj","635366-7","Revontulentie 6","Espoo",2100,"Simpele","Teollisuus CHP","9,1","9,1",0,"25,4","25,4",0,0,0,0,"34,5","34,5",0,"Turve","Raskas öljy",
"Siuronkoski","Virolan puutarha","1054374-6","Tiihalantie 194","Kangasala",36270,"Siuronkoski, Nokia","Vesivoima","0,7","0,7",0,0,0,0,0,0,0,"0,7","0,7",0,,,
"Sodankylän varuskunta","Puolustushallinnon rakennuslaitos","0988874-7","Unioninkatu 8, PL 199","Helsinki",131,"Sodankylän varuskunta","Erillistuotanto","0,9","0,9",0,0,0,0,0,0,0,"0,9","0,9",0,"Kevyt öljy",,
"Soilu","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Soilu","Vesivoima","1,8","1,8",0,0,0,0,0,0,0,"1,8","1,8",0,,,
"Soininkoski","Killin Voima Oy",1579405,"PL 25","Virrat",34801,"Soininkoski","Vesivoima","1,42","1,4",0,0,0,0,0,0,0,"1,42","1,4",0,,,
"Sopenkorpi","Lahti Energia Oy","0804847-1",,,15141,"Sopenkorpi Mestarinkatu 11, Lahti","Erillistuotanto","14,5","13,6",0,0,0,0,0,0,0,"14,5","13,6",0,"Kevyt öljy",,
"Sotkamo","Vapo Oy",174817,"PL 22","Jyväskylä",40101,"Sotkamo","Teollisuus CHP",0,0,0,"1,3","1,3",0,0,0,0,"1,3","1,3",0,"Turve","Keskiraskas öljy","Metsäpolttoaine, puu"
"Stadsforsens Kraftverk","Nykarleby Kraftverk","0183077-8","Kvarnvägen 20","Nykarleby",66900,"Stadsforsens Kraftverk","Vesivoima","4,6",3,0,0,0,0,0,0,0,"4,6",3,0,,,
"Summa tv","Haminan Energia",,"Reutsinkatu 12","Hamina",49400,"Summa tv","Tuulivoima",12,12,0,0,0,0,0,0,0,12,12,0,,,
"Sunila","Stora Enso Oyj",1600825,"Sunilantie 1","Sunila",48900,"Kotka, Sunila","Teollisuus CHP",0,0,0,"35,7","35,7",0,0,0,0,"35,7","35,7",0,"Puunjalostusteolliuuden jäteliemet","Teollisuuden puutähde","Maakaasu"
"Suomenojan voimalaitos","Fortum Power and Heat Oy","0109160-2","PL 100","FORTUM",48,"Suomenojan voimalaitos","Kaukolämpö CHP",0,0,0,0,0,0,358,358,0,358,358,0,"Kivihiili","Maakaasu","Keskiraskas öljy"
"Suosiola","ROVANIEMEN ENERGIA OY","0730905-1","Koskikatu 27","96101 ROVANIEMI",96100,"Lampelankatu 24, Suosiola","Kaukolämpö CHP",0,0,0,0,0,0,30,30,0,30,30,0,"Turve","Teollisuuden puutähde","Metsäpolttoaine, puu"
"Svalskulla","VindIn Svalskulla Ab/Oy","2568851-8","c/o Accounting Services Tilimatic Mannerheimintie 16 A 3","Helsinki",100,"Svalskulla, Närpiö","Tuulivoima",15,15,0,0,0,0,0,0,0,15,15,0,,,
"Sysimylly","Sysituuli Oy","2546296-5","Talvitie 333","Luomakylä",61810,"Luomankyläntie 591, Luomankylä","Tuulivoima","2,5","2,5",0,0,0,0,0,0,0,"2,5","2,5",0,,,
"Sähkäle  II","Lumituuli Oy","1454032-3","Eerikinkatu 27","Helsinki",180,"Sähkäle II, Lumijoki","Tuulivoima","1,6","1,6",0,0,0,0,0,0,0,"1,6","1,6",0,,,
"Säkylä","Voimavasu Oy","1503851-1","PL 22","Jyväskylä",40101,"Säkylä","Teollisuus CHP",0,0,0,"8,8","8,8",0,0,0,0,"8,8","8,8",0,"Raskas öljy",,
"Sälevä","Savon Voima Oyj","0171351-2","PL 1024","Toivala",70901,"Lapinlahti, Itäkoskentie 53, Paloinen","Vesivoima",3,3,0,0,0,0,0,0,0,3,3,0,,,
"Sänkiaho","Alajärven Sähkö Oy","0177564-1","Kauppakatu 1","Alajärvi",62900,"Sänkiahon 110/ 20 kV sähköasema ","Erillistuotanto","2,1","1,8",0,0,0,0,0,0,0,"2,1","1,8",0,"Keskiraskas öljy",,
"Tahkoluoto","PVO-Lämpövoima Oy","0904132-7","Frilundintie 7","Vaasa",65170,"Tahkoluoto","Erillistuotanto",0,0,233,0,0,0,0,0,0,0,0,233,"Kivihiili","Raskas öljy",
"Tahkoluoto kt","Fingrid Oyj","1072894-3","PL 530 ( Arkadiakatu 23 B)","Helsinki",100,"Tahkoluoto kt 1, 2","Erillistuotanto",52,52,0,0,0,0,0,0,0,52,52,0,"Keskiraskas öljy",,
"Tahkoluoto Offshore tv","Suomen Hyötytuuli Oy","1477522-9","PL 9","Pori",28101,"Pori, Tahkoluodon edusta","Tuulivoima","2,3","2,3",0,0,0,0,0,0,0,"2,3","2,3",0,,,
"Tahkoluoto T1-T10","Suomen Hyötytuuli Oy","1477522-9","PL 305","Pori",28601,"Tahkoluoto T1-T10","Tuulivoima",42,42,0,0,0,0,0,0,0,42,42,0,,,
"Tahkoluoto tv","Tuuliwatti Oy ","2263278-9","Purotie 1","PL 100","(00)381","Pori, Tahkoluoto","Tuulivoima",3,3,0,0,0,0,0,0,0,3,3,0,,,
"Tainionkoski","Fortum Power and Heat Oy","0109160-2","Keilalahdentie 2-4","PL 100","00048 Fortum","Tainionkoski","Vesivoima","65,5","65,5",0,0,0,0,0,0,0,"65,5","65,5",0,,,
"Taivalkoski","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Taivalkoski","Vesivoima","133,2",123,0,0,0,0,0,0,0,"133,2",123,0,,,
"Tako T2 ja T5","Metsä Board Oyj","635366-7","Revontulentie 6","Espoo",2100,"M-real Tako Board kartonkitehdas, Tampere","Teollisuus CHP",5,5,0,"11,5","11,5",0,0,0,0,"16,5","16,5",0,"Maakaasu","Raskas öljy",
"Tammerkoski","Tampereen Sähkölaitos","0211675-2","PL 175","TAMPERE",33101,"Tammerkoski","Vesivoima","8,6","7,1",0,0,0,0,0,0,0,"8,6","7,1",0,,,
"Tammervoima","Tammervoima Oy","2444407-9","Voimakatu 17","Tampere",33100,"Tammervoima / Hyötyvoimankuja 1","Kaukolämpö CHP",0,0,0,0,0,0,"12,3","11,5",0,"12,3","11,5",0,"Muut polttoaineena käytettävät sivu- ja jätetuotteet","Keskiraskas öljy","Biokaasu"
"Tampella ve","Tampereen Sähkölaitos","0211675-2","PL 175","TAMPERE",33101,"Tampella ve","Vesivoima","3,01","2,8",0,0,0,0,0,0,0,"3,01","2,8",0,,,
"Tervakoski lä","Tervakoski Oy","1516296-9","Vähikkäläntie 1","Tervakoski",12400,"Tervakoski","Teollisuus CHP","3,9","3,9",0,"7,5","7,5",0,0,0,0,"11,4","11,4",0,"Maakaasu","Raskas öljy",
"Tervasaari vesi","UPM Specialty Papers Oy","2760640-8","Alvar Aallon katu 1","Helsinki",,"Tervasaari vesi","Vesivoima",3,"0,1",0,0,0,0,0,0,0,3,"0,1",0,,,
